Frequency(Hz),  Magnitude(dB),   Phase(deg)
110.046, 90.8633, -81.2556
110.229, 90.7265, -90.8291
110.413, 90.6008, -85.6263
110.596, 91.0808, -91.2858
110.779, 90.4823, -93.6531
110.962, 90.1749, -93.5753
111.145, 90.3773, -93.4047
111.328, 90.0685, -91.7677
111.511, 90.7163, -95.5283
111.694, 90.7587, -95.8225
111.877, 90.5188, -98.9609
112.061, 90.6102, -101.4765
112.244, 90.3155, -102.6530
112.427, 90.1404, -97.9364
112.610, 90.5916, -105.2998
112.793, 90.0232, -99.5151
112.976, 90.9270, -102.0155
113.159, 90.7739, -112.3357
113.342, 89.6722, -103.1973
113.525, 90.8402, -108.5490
113.708, 90.2963, -112.5065
113.892, 90.0586, -110.2086
114.075, 89.3640, -108.6910
114.258, 90.0347, -111.9305
114.441, 89.5050, -113.0205
114.624, 89.9412, -102.9476
114.807, 90.0040, -118.8532
114.990, 89.8619, -106.3094
115.173, 90.0797, -110.4548
115.356, 90.8304, -117.7105
115.540, 89.2057, -103.8417
115.723, 89.8712, -114.7934
115.906, 90.7945, -117.8401
116.089, 89.5179, -113.0996
116.272, 89.6907, -116.8478
116.455, 89.8773, -109.1682
116.638, 90.3579, -115.4657
116.821, 90.7211, -113.5254
117.004, 90.4516, -115.8615
117.188, 90.4522, -114.9434
117.371, 90.3975, -119.8162
117.554, 90.4182, -113.0961
117.737, 91.0375, -119.6466
117.920, 90.0678, -115.4780
118.103, 91.3198, -116.8810
118.286, 91.1600, -119.7840
118.469, 91.0580, -117.7864
118.652, 91.7375, -121.6592
118.835, 91.4475, -123.2640
119.019, 91.1577, -124.2255
119.202, 91.3063, -125.1045
119.385, 91.6554, -123.6043
119.568, 91.4727, -125.8704
119.751, 91.6530, -124.5015
119.934, 91.4193, -125.9153
120.117, 91.8733, -125.9369
120.300, 92.0071, -128.8879
120.483, 92.4846, -127.7959
120.667, 92.1184, -135.7333
120.850, 92.1863, -127.9306
121.033, 92.3096, -135.2963
121.216, 92.3987, -135.5882
121.399, 91.4781, -134.0303
121.582, 92.6060, -136.5132
121.765, 92.5967, -137.6943
121.948, 92.1318, -139.3303
122.131, 92.3041, -139.0032
122.314, 92.2474, -141.2301
122.498, 92.0074, -138.8549
122.681, 92.3246, -141.6032
122.864, 92.3588, -140.9070
123.047, 92.1971, -143.6673
123.230, 92.5563, -138.8979
123.413, 93.0748, -147.2042
123.596, 91.9616, -145.3945
123.779, 92.6345, -144.0231
123.962, 92.3049, -147.3931
124.146, 93.1184, -143.8199
124.329, 92.7438, -148.1135
124.512, 92.7259, -151.1312
124.695, 92.8654, -147.1852
124.878, 92.6160, -149.7302
125.061, 92.8931, -153.7502
125.244, 92.9404, -147.8777
125.427, 92.6302, -155.6836
125.610, 93.3346, -150.5476
125.793, 92.5149, -151.9410
125.977, 93.0752, -153.3361
126.160, 93.0523, -153.6591
126.343, 93.2660, -153.3315
126.526, 93.3828, -156.1098
126.709, 93.3688, -152.5855
126.892, 93.8230, -155.9668
127.075, 93.6291, -157.5267
127.258, 93.8815, -158.8719
127.441, 93.5806, -159.9142
127.625, 93.8231, -159.5936
127.808, 94.2269, -157.9615
127.991, 94.3550, -162.4465
128.174, 93.4965, -163.6711
128.357, 94.6176, -161.0144
128.540, 94.2345, -163.8408
128.723, 94.8587, -164.0194
128.906, 94.5585, -165.9850
129.089, 95.1009, -166.8798
129.272, 94.6844, -171.0901
129.456, 95.0825, -166.9212
129.639, 95.0079, -170.3158
129.822, 95.2417, -171.1691
130.005, 95.6936, -174.3205
130.188, 95.3615, -175.6139
130.371, 95.2161, -175.2418
130.554, 95.7658, -178.4684
130.737, 95.7732, -176.9766
130.920, 96.0074, 179.3886
131.104, 95.9327, 175.0009
131.287, 95.7701, 176.8706
131.470, 96.0754, 173.6333
131.653, 96.0840, 170.8851
131.836, 95.5996, 169.7671
132.019, 95.9052, 169.2502
132.202, 95.8460, 169.7083
132.385, 96.0272, 166.5397
132.568, 96.1533, 164.6317
132.751, 95.8736, 162.3888
132.935, 95.9884, 161.6235
133.118, 95.8808, 159.6671
133.301, 96.0011, 159.5946
133.484, 95.8211, 157.0096
133.667, 96.0552, 155.7338
133.850, 95.7857, 153.4618
134.033, 95.9385, 152.8846
134.216, 95.5878, 149.9277
134.399, 95.7602, 148.7007
134.583, 95.4069, 148.0784
134.766, 95.6079, 148.1901
134.949, 95.5774, 145.2546
135.132, 95.4814, 141.5001
135.315, 95.0905, 144.9190
135.498, 95.2176, 141.0212
135.681, 95.3814, 140.0635
135.864, 94.9220, 137.6485
136.047, 94.7403, 137.9195
136.230, 94.4038, 135.2331
136.414, 94.7186, 139.3792
136.597, 94.6410, 135.8411
136.780, 94.5020, 134.5626
136.963, 94.5180, 135.0243
137.146, 94.6492, 131.6986
137.329, 94.0774, 131.9978
137.512, 94.2751, 132.6160
137.695, 94.4138, 128.7809
137.878, 94.0228, 129.0300
138.062, 93.8771, 127.7654
138.245, 93.8539, 126.8780
138.428, 93.6424, 127.7539
138.611, 93.5573, 125.9630
138.794, 93.6907, 126.3355
138.977, 93.5349, 124.4829
139.160, 93.3421, 124.0774
139.343, 93.1887, 123.6914
139.526, 93.3034, 123.6974
139.709, 93.0493, 121.7156
139.893, 92.8759, 122.6849
140.076, 92.9590, 123.2553
140.259, 92.9324, 119.9558
140.442, 92.3896, 121.6649
140.625, 92.5990, 122.5680
140.808, 92.8856, 121.7073
140.991, 92.5133, 121.8062
141.174, 92.5645, 118.6311
141.357, 92.2501, 121.8858
141.541, 92.5738, 121.1121
141.724, 92.3572, 121.2942
141.907, 92.6980, 120.7747
142.090, 92.4652, 119.4060
142.273, 92.3897, 118.6218
142.456, 92.4330, 121.0178
142.639, 92.5967, 117.0244
142.822, 92.3213, 118.2491
143.005, 92.2514, 117.0920
143.188, 92.1038, 118.1842
143.372, 92.1039, 120.1781
143.555, 92.3762, 118.9716
143.738, 92.4247, 118.9720
143.921, 92.3298, 118.2037
144.104, 92.5487, 117.5940
144.287, 92.5362, 119.1061
144.470, 92.5366, 116.6789
144.653, 92.7203, 117.2844
144.836, 92.6036, 116.1691
145.020, 92.7016, 116.6575
145.203, 92.7144, 115.6318
145.386, 92.8371, 115.5895
145.569, 92.8568, 115.8652
145.752, 93.1466, 114.4533
145.935, 93.0181, 112.3363
146.118, 92.8977, 113.1750
146.301, 93.1338, 112.0314
146.484, 93.0073, 109.9132
146.667, 92.9043, 112.3423
146.851, 93.0683, 111.5001
147.034, 93.1339, 109.8946
147.217, 93.0584, 108.7880
147.400, 93.2725, 110.5225
147.583, 92.9397, 109.4611
147.766, 93.3720, 108.4163
147.949, 93.0660, 109.5572
148.132, 93.3641, 107.9485
148.315, 93.3405, 107.5057
148.499, 93.4771, 108.1701
148.682, 93.6743, 107.2517
148.865, 93.4731, 107.3223
149.048, 93.5712, 105.7050
149.231, 93.8950, 107.8314
149.414, 93.8972, 104.4964
149.597, 94.0759, 105.6711
149.780, 94.0860, 104.1049
149.963, 94.1175, 104.4571
150.146, 94.3826, 105.0801
150.330, 94.7199, 101.2157
150.513, 94.5799, 101.9093
150.696, 94.7325, 101.2246
150.879, 94.8217, 100.0200
151.062, 95.1450, 98.7800
151.245, 95.0368, 97.5379
151.428, 95.2934, 97.3765
151.611, 95.2906, 96.1460
151.794, 95.5487, 94.3365
151.978, 95.4894, 94.2045
152.161, 95.8832, 92.0447
152.344, 95.8910, 91.5965
152.527, 96.1034, 89.0065
152.710, 96.0744, 86.1607
152.893, 96.0138, 86.8322
153.076, 96.2964, 83.6077
153.259, 96.1183, 82.4584
153.442, 96.2546, 82.3600
153.625, 96.5881, 79.0249
153.809, 96.2773, 78.5536
153.992, 96.2554, 75.9239
154.175, 96.7768, 74.3694
